crop_name,Latitude,Longitude,status,source_db,database_id
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_692
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_693
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_695
triticum_turgidum,37.08333333,-8.91666667,G,USDA,USDA_699
triticum_turgidum,39.05,-7.65,G,USDA,USDA_702
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_703
triticum_turgidum,39.88,-8.42,G,USDA,USDA_704
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_705
triticum_turgidum,40.82,-8.62,G,USDA,USDA_706
triticum_turgidum,33.1,6.06666667,G,USDA,USDA_787
triticum_turgidum,33.1,6.06666667,G,USDA,USDA_788
triticum_turgidum,35.23333333,6.16666667,G,USDA,USDA_789
triticum_turgidum,35.22194444,5.7075,G,USDA,USDA_790
triticum_turgidum,34.85,5.73333333,G,USDA,USDA_791
triticum_turgidum,39,-9.13333333,G,USDA,USDA_792
triticum_turgidum,39,-9.13333333,G,USDA,USDA_793
triticum_turgidum,39,-9.13333333,G,USDA,USDA_794
triticum_turgidum,39,-9.13333333,G,USDA,USDA_795
triticum_turgidum,39,-9.13333333,G,USDA,USDA_796
triticum_turgidum,39,-9.13333333,G,USDA,USDA_797
triticum_turgidum,39,-9.13333333,G,USDA,USDA_798
triticum_turgidum,39,-9.13333333,G,USDA,USDA_799
triticum_turgidum,39,-9.13333333,G,USDA,USDA_800
triticum_turgidum,39,-9.13333333,G,USDA,USDA_802
triticum_turgidum,39,-9.13333333,G,USDA,USDA_803
triticum_turgidum,39,-9.13333333,G,USDA,USDA_804
triticum_turgidum,39,-9.13333333,G,USDA,USDA_805
triticum_turgidum,39,-9.13333333,G,USDA,USDA_806
triticum_turgidum,39,-9.13333333,G,USDA,USDA_807
triticum_turgidum,39,-9.13333333,G,USDA,USDA_808
triticum_turgidum,39,-9.13333333,G,USDA,USDA_809
triticum_turgidum,39,-9.13333333,G,USDA,USDA_810
triticum_turgidum,39,-9.13333333,G,USDA,USDA_811
triticum_turgidum,39,-9.13333333,G,USDA,USDA_812
triticum_turgidum,39,-9.13333333,G,USDA,USDA_813
triticum_turgidum,39,-9.13333333,G,USDA,USDA_814
triticum_turgidum,39,-9.13333333,G,USDA,USDA_815
triticum_turgidum,39,-9.13333333,G,USDA,USDA_817
triticum_turgidum,39,-9.13333333,G,USDA,USDA_818
triticum_turgidum,39,-9.13333333,G,USDA,USDA_819
triticum_turgidum,39,-9.13333333,G,USDA,USDA_820
triticum_turgidum,39,-9.13333333,G,USDA,USDA_821
triticum_turgidum,39.85,-0.15,G,USDA,USDA_825
triticum_turgidum,38.91666667,-6.61666667,G,USDA,USDA_826
triticum_turgidum,35.5,0.5,G,USDA,USDA_827
triticum_turgidum,35.74361111,0.55388889,G,USDA,USDA_828
triticum_turgidum,36.19138889,5.40944444,G,USDA,USDA_830
triticum_turgidum,36.19138889,5.40944444,G,USDA,USDA_831
triticum_turgidum,36.19138889,5.40944444,G,USDA,USDA_832
triticum_turgidum,36.19138889,5.40944444,G,USDA,USDA_833
triticum_turgidum,28,-15.5,G,USDA,USDA_837
triticum_turgidum,34.87833333,-1.315,G,USDA,USDA_838
triticum_turgidum,36.38166667,6.38222222,G,USDA,USDA_839
